"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","1,307.40","1,292.00","1,317.00","1,292.00","15.15M","1.44%"
"02-03-2026","1,288.90","1,291.00","1,298.80","1,273.00","9.70M","-0.86%"
"27-02-2026","1,300.10","1,326.30","1,335.00","1,294.20","23.14M","0.85%"
"26-02-2026","1,289.10","1,305.50","1,314.00","1,286.30","11.49M","-0.08%"
"25-02-2026","1,290.10","1,286.20","1,323.60","1,286.20","16.67M","1.14%"
"24-02-2026","1,275.50","1,301.00","1,303.60","1,264.10","27.84M","-3.92%"
"23-02-2026","1,327.50","1,352.00","1,352.00","1,318.00","12.89M","-1.90%"
"20-02-2026","1,353.20","1,359.20","1,365.00","1,338.20","12.63M","-1.26%"
"19-02-2026","1,370.50","1,385.00","1,402.00","1,363.20","14.57M","-0.23%"
"18-02-2026","1,373.70","1,390.90","1,401.00","1,345.30","20.24M","-1.26%"
"17-02-2026","1,391.20","1,370.00","1,431.00","1,367.00","25.35M","1.87%"
"16-02-2026","1,365.60","1,373.70","1,376.00","1,338.30","14.62M","-0.26%"
"13-02-2026","1,369.10","1,293.90","1,377.30","1,281.50","45.79M","-1.22%"
"12-02-2026","1,386.00","1,428.90","1,435.70","1,380.50","26.05M","-5.84%"
"11-02-2026","1,471.90","1,501.20","1,505.90","1,469.00","7.93M","-1.73%"
"10-02-2026","1,497.80","1,500.00","1,515.90","1,491.00","8.66M","0.04%"
"09-02-2026","1,497.20","1,522.10","1,528.00","1,493.00","8.29M","-0.66%"
"06-02-2026","1,507.10","1,522.10","1,525.00","1,480.00","13.90M","-0.86%"
"05-02-2026","1,520.20","1,534.00","1,551.00","1,515.70","10.63M","-1.02%"
"04-02-2026","1,535.80","1,574.00","1,584.90","1,510.10","28.83M","-7.26%"
"03-02-2026","1,656.00","1,727.20","1,728.00","1,653.00","8.81M","1.63%"
"02-02-2026","1,629.40","1,662.00","1,662.00","1,618.00","6.78M","-1.52%"
"01-02-2026","1,654.50","1,630.00","1,677.30","1,604.00","6.24M","0.82%"
"30-01-2026","1,641.00","1,655.00","1,655.00","1,618.10","9.21M","-1.11%"
"29-01-2026","1,659.50","1,658.00","1,666.50","1,642.10","4.75M","-0.42%"
"28-01-2026","1,666.50","1,680.00","1,688.80","1,650.00","8.59M","-0.96%"
"27-01-2026","1,682.70","1,685.80","1,689.40","1,661.10","10.67M","0.71%"
"23-01-2026","1,670.80","1,667.20","1,675.70","1,662.20","5.87M","0.44%"
"22-01-2026","1,663.50","1,666.00","1,671.20","1,653.80","6.23M","0.55%"
"21-01-2026","1,654.40","1,651.00","1,657.00","1,631.20","6.22M","-0.27%"
"20-01-2026","1,658.90","1,673.00","1,680.20","1,652.90","6.41M","-1.33%"
"19-01-2026","1,681.20","1,685.00","1,685.00","1,666.50","5.10M","-0.51%"
"16-01-2026","1,689.80","1,663.70","1,694.00","1,653.40","19.34M","5.63%"
"14-01-2026","1,599.80","1,588.00","1,617.00","1,583.10","7.56M","0.05%"
"13-01-2026","1,599.00","1,618.00","1,618.00","1,586.40","8.08M","0.19%"
"12-01-2026","1,595.90","1,610.10","1,613.30","1,592.60","6.99M","-1.13%"
"09-01-2026","1,614.10","1,610.00","1,631.30","1,607.00","6.82M","0.05%"
"08-01-2026","1,613.30","1,638.90","1,644.30","1,608.60","3.94M","-1.57%"
"07-01-2026","1,639.00","1,615.00","1,642.00","1,615.00","4.51M","1.66%"
"06-01-2026","1,612.20","1,600.10","1,619.90","1,599.00","4.47M","0.36%"
"05-01-2026","1,606.40","1,637.00","1,637.00","1,583.10","5.92M","-2.07%"
"02-01-2026","1,640.40","1,635.90","1,643.50","1,627.50","2.52M","0.65%"
"01-01-2026","1,629.80","1,615.40","1,639.60","1,614.10","3.66M","0.89%"
"31-12-2025","1,615.40","1,621.00","1,628.60","1,609.20","6.54M","-0.38%"
"30-12-2025","1,621.60","1,647.00","1,647.90","1,616.80","9.40M","-1.40%"
"29-12-2025","1,644.70","1,658.00","1,673.10","1,637.10","4.06M","-0.69%"
"26-12-2025","1,656.10","1,663.40","1,668.80","1,651.70","2.01M","-0.44%"
"24-12-2025","1,663.40","1,661.00","1,667.60","1,652.50","4.27M","-0.29%"
"23-12-2025","1,668.30","1,679.00","1,679.00","1,656.40","6.59M","-1.26%"
"22-12-2025","1,689.60","1,664.00","1,693.20","1,664.00","23.10M","3.11%"
"19-12-2025","1,638.70","1,650.00","1,654.90","1,629.80","13.15M","0.73%"
"18-12-2025","1,626.80","1,610.50","1,630.00","1,606.70","6.58M","1.55%"
"17-12-2025","1,602.00","1,587.20","1,606.90","1,586.00","4.82M","0.57%"
"16-12-2025","1,592.90","1,600.00","1,603.00","1,585.60","5.50M","-0.87%"
"15-12-2025","1,606.80","1,585.00","1,610.80","1,585.00","4.19M","0.54%"
"12-12-2025","1,598.20","1,601.40","1,601.80","1,582.60","4.63M","0.01%"
"11-12-2025","1,598.00","1,598.00","1,607.40","1,580.50","5.16M","0.83%"
"10-12-2025","1,584.80","1,608.00","1,608.00","1,582.80","5.12M","-0.89%"
"09-12-2025","1,599.00","1,601.20","1,606.90","1,582.40","6.96M","-0.73%"
"08-12-2025","1,610.80","1,617.10","1,630.00","1,600.20","7.55M","-0.33%"
"05-12-2025","1,616.20","1,610.00","1,631.80","1,600.00","10.34M","1.16%"
"04-12-2025","1,597.60","1,568.00","1,599.00","1,568.00","12.61M","1.20%"
"03-12-2025","1,578.70","1,555.10","1,586.00","1,554.10","12.90M","1.13%"
"02-12-2025","1,561.00","1,567.00","1,579.90","1,556.10","6.34M","-0.19%"
