"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","1,345.00","1,330.00","1,352.80","1,307.00","32.50M","-0.96%"
"02-03-2026","1,358.00","1,375.50","1,378.60","1,341.50","23.73M","-2.58%"
"27-02-2026","1,393.90","1,398.00","1,410.40","1,388.10","12.03M","-0.92%"
"26-02-2026","1,406.80","1,398.50","1,412.90","1,391.90","16.68M","0.59%"
"25-02-2026","1,398.50","1,435.00","1,440.50","1,393.50","10.73M","-2.12%"
"24-02-2026","1,428.80","1,425.30","1,433.30","1,415.00","12.53M","0.06%"
"23-02-2026","1,428.00","1,425.00","1,434.90","1,418.30","7.76M","0.61%"
"20-02-2026","1,419.40","1,409.50","1,427.40","1,406.10","8.18M","0.70%"
"19-02-2026","1,409.50","1,443.00","1,443.00","1,400.00","11.88M","-2.21%"
"18-02-2026","1,441.30","1,427.00","1,442.10","1,419.20","5.52M","1.29%"
"17-02-2026","1,423.00","1,431.10","1,431.80","1,418.60","10.73M","-0.98%"
"16-02-2026","1,437.10","1,420.10","1,439.60","1,409.30","5.90M","1.23%"
"13-02-2026","1,419.60","1,445.50","1,450.70","1,416.30","10.76M","-2.02%"
"12-02-2026","1,448.90","1,470.00","1,473.00","1,445.50","11.14M","-1.35%"
"11-02-2026","1,468.70","1,459.60","1,470.00","1,453.60","7.11M","0.70%"
"10-02-2026","1,458.50","1,471.00","1,471.00","1,452.20","10.26M","-0.21%"
"09-02-2026","1,461.60","1,458.00","1,465.90","1,453.00","5.78M","0.74%"
"06-02-2026","1,450.80","1,441.50","1,452.80","1,433.50","8.28M","0.51%"
"05-02-2026","1,443.40","1,457.00","1,461.50","1,439.50","11.76M","-0.92%"
"04-02-2026","1,456.80","1,444.00","1,464.00","1,440.30","8.33M","1.37%"
